day,hotw_count,hotw_pct,lotw_count,lotw_pct,combined_count,combined_pct
Monday,344,25.903614457831324,374,28.162650602409638,718,54.066265060240966
Tuesday,177,13.328313253012048,191,14.382530120481928,368,27.710843373493976
Wednesday,196,14.759036144578314,187,14.081325301204819,383,28.84036144578313
Thursday,240,18.072289156626507,194,14.608433734939759,434,32.68072289156626
Friday,369,27.78614457831325,381,28.68975903614458,750,56.475903614457835
