,HIGH_pct,LOW_pct
Monday,27.852852852852855,30.405405405405407
Tuesday,14.63963963963964,15.615615615615615
Wednesday,15.615615615615615,13.88888888888889
Thursday,17.192192192192195,16.066066066066064
Friday,0.0,0.0
