week_key,case,monday_low,monday_high,monday_close,monday_range,week_range,tuesday_close,tuesday_return_pips,tuesday_direction,week_low_price,week_high_price,confirms_bullish,confirms_bearish
2000-W23,LOTW_Monday,0.9416,0.949,0.9483,73.99999999999962,288.00000000000045,0.9549,65.99999999999939,UP,0.9416,0.9704,True,
2000-W24,LOTW_Monday,0.9494,0.9562,0.9542,68.00000000000028,166.99999999999937,0.9599,56.999999999999275,UP,0.9494,0.9661,True,
2000-W25,HOTW_Monday,0.9567,0.9694,0.9569,127.00000000000044,352.0000000000001,0.955,-19.000000000000128,DOWN,0.9342,0.9694,,True
2000-W26,LOTW_Monday,0.9299,0.9399,0.937,100.00000000000009,305.00000000000085,0.9463,92.99999999999974,UP,0.9299,0.9604,True,
2000-W29,HOTW_Monday,0.9342,0.9402,0.9372,60.00000000000006,209.00000000000028,0.9251,-121.0,DOWN,0.9193,0.9402,,True
2000-W31,HOTW_Monday,0.9224,0.9295,0.9271,70.99999999999996,297.9999999999994,0.9148,-123.00000000000088,DOWN,0.8997,0.9295,,True
2000-W33,LOTW_Monday,0.9007,0.907,0.9063,63.00000000000083,177.00000000000048,0.9138,74.99999999999952,UP,0.9007,0.9184,True,
2000-W34,HOTW_Monday,0.9013,0.9079,0.9018,66.0000000000005,167.00000000000048,0.8966,-52.00000000000094,DOWN,0.8912,0.9079,,True
2000-W35,HOTW_Monday,0.8988,0.9045,0.9003,56.999999999999275,203.99999999999974,0.8924,-79.00000000000018,DOWN,0.8841,0.9045,,True
2000-W36,HOTW_Monday,0.8987,0.904,0.8996,52.999999999999716,401.0000000000002,0.8897,-98.99999999999909,DOWN,0.8639,0.904,,True
2000-W37,HOTW_Monday,0.8571,0.8726,0.8576,155.00000000000068,199.00000000000028,0.8644,67.99999999999918,UP,0.8527,0.8726,,False
2000-W39,LOTW_Monday,0.8713,0.883,0.8754,117.00000000000044,172.99999999999983,0.8829,75.00000000000063,UP,0.8713,0.8886,True,
2000-W40,HOTW_Monday,0.8763,0.8861,0.8774,98.00000000000031,189.00000000000028,0.8761,-12.999999999999678,DOWN,0.8672,0.8861,,True
2000-W45,HOTW_Monday,0.8548,0.8734,0.8622,185.9999999999995,212.99999999999986,0.8601,-20.999999999999908,DOWN,0.8521,0.8734,,True
