day,hotw_count,hotw_pct,lotw_count,lotw_pct,both_count,both_pct
Monday,344,25.903614457831324,374,28.162650602409638,7,0.5271084337349398
Tuesday,177,13.328313253012048,191,14.382530120481928,5,0.37650602409638556
Wednesday,196,14.759036144578314,187,14.081325301204819,15,1.1295180722891567
Thursday,240,18.072289156626507,194,14.608433734939759,7,0.5271084337349398
Friday,369,27.78614457831325,381,28.68975903614458,6,0.45180722891566266
