,HIGH_pct,LOW_pct
17,6.01184150599666,6.816456657051768
18,3.1880977683315623,3.1880977683315623
19,3.5524517989980264,3.3095491118870504
20,3.218460604220434,4.539243965386367
21,2.808562319720662,2.945195081220586
22,1.8521329892211933,1.7003188097768331
23,1.518141794443601,1.0475178381660848
0,1.0626992561105209,1.2145134355548808
1,2.3683011993320178,1.6699559738879612
2,5.78412023683012,4.615151055108547
3,6.1029300136632765,5.966297252163352
4,4.964323667830575,3.7042659784423866
5,3.6283588887202067,2.975557917109458
6,3.021102170942766,2.717473812054046
7,3.218460604220434,3.597996052831334
8,6.846819492940641,7.894337331106725
9,5.8600273265523,6.133292849552148
10,8.06133292849552,8.71413390010627
11,5.723394565052376,6.634279641718536
12,4.387429785942007,4.751783816608471
13,3.8105359040534386,3.370274783664794
14,4.402611203886443,4.630332473052983
15,3.6435403066646423,3.294367693942614
16,4.964323667830575,4.569606801275238
