day,day_prob,hour,hotw_count,hotw_pct,lotw_count,lotw_pct,total_hotw,total_lotw
Monday,54.01350337584396,0,10,2.898550724637681,4,1.0666666666666667,345,375
Monday,54.01350337584396,1,8,2.318840579710145,12,3.2,345,375
Monday,54.01350337584396,2,30,8.695652173913043,27,7.2,345,375
Monday,54.01350337584396,3,37,10.72463768115942,29,7.733333333333333,345,375
Monday,54.01350337584396,4,26,7.536231884057971,15,4.0,345,375
Monday,54.01350337584396,5,6,1.7391304347826086,12,3.2,345,375
Monday,54.01350337584396,6,14,4.057971014492754,10,2.6666666666666665,345,375
Monday,54.01350337584396,7,8,2.318840579710145,16,4.266666666666667,345,375
Monday,54.01350337584396,8,15,4.3478260869565215,24,6.4,345,375
Monday,54.01350337584396,9,14,4.057971014492754,20,5.333333333333333,345,375
Monday,54.01350337584396,10,13,3.7681159420289854,11,2.933333333333333,345,375
Monday,54.01350337584396,11,13,3.7681159420289854,17,4.533333333333333,345,375
Monday,54.01350337584396,12,3,0.8695652173913043,12,3.2,345,375
Monday,54.01350337584396,13,5,1.4492753623188406,1,0.26666666666666666,345,375
Monday,54.01350337584396,14,2,0.5797101449275363,3,0.8,345,375
Monday,54.01350337584396,15,3,0.8695652173913043,1,0.26666666666666666,345,375
Monday,54.01350337584396,16,2,0.5797101449275363,2,0.5333333333333333,345,375
Monday,54.01350337584396,17,36,10.434782608695652,45,12.0,345,375
Monday,54.01350337584396,18,28,8.115942028985508,33,8.8,345,375
Monday,54.01350337584396,19,19,5.507246376811594,27,7.2,345,375
Monday,54.01350337584396,20,16,4.63768115942029,20,5.333333333333333,345,375
Monday,54.01350337584396,21,19,5.507246376811594,18,4.8,345,375
Monday,54.01350337584396,22,10,2.898550724637681,9,2.4,345,375
Monday,54.01350337584396,23,8,2.318840579710145,7,1.8666666666666667,345,375
Tuesday,27.606901725431356,0,4,2.2598870056497176,2,1.0471204188481675,177,191
Tuesday,27.606901725431356,1,1,0.5649717514124294,2,1.0471204188481675,177,191
Tuesday,27.606901725431356,2,17,9.6045197740113,14,7.329842931937173,177,191
Tuesday,27.606901725431356,3,18,10.169491525423728,22,11.518324607329843,177,191
Tuesday,27.606901725431356,4,8,4.519774011299435,9,4.712041884816754,177,191
Tuesday,27.606901725431356,5,13,7.344632768361582,9,4.712041884816754,177,191
Tuesday,27.606901725431356,6,7,3.9548022598870056,12,6.282722513089006,177,191
Tuesday,27.606901725431356,7,10,5.649717514124294,15,7.853403141361256,177,191
Tuesday,27.606901725431356,8,18,10.169491525423728,13,6.806282722513089,177,191
Tuesday,27.606901725431356,9,19,10.734463276836157,9,4.712041884816754,177,191
Tuesday,27.606901725431356,10,17,9.6045197740113,19,9.947643979057592,177,191
Tuesday,27.606901725431356,11,4,2.2598870056497176,11,5.7591623036649215,177,191
Tuesday,27.606901725431356,12,7,3.9548022598870056,11,5.7591623036649215,177,191
Tuesday,27.606901725431356,13,5,2.824858757062147,10,5.2356020942408374,177,191
Tuesday,27.606901725431356,14,6,3.389830508474576,4,2.094240837696335,177,191
Tuesday,27.606901725431356,15,3,1.694915254237288,0,0.0,177,191
Tuesday,27.606901725431356,16,0,0.0,1,0.5235602094240838,177,191
Tuesday,27.606901725431356,17,2,1.1299435028248588,1,0.5235602094240838,177,191
Tuesday,27.606901725431356,18,2,1.1299435028248588,3,1.5706806282722514,177,191
Tuesday,27.606901725431356,19,3,1.694915254237288,6,3.141361256544503,177,191
Tuesday,27.606901725431356,20,6,3.389830508474576,4,2.094240837696335,177,191
Tuesday,27.606901725431356,21,3,1.694915254237288,7,3.6649214659685865,177,191
Tuesday,27.606901725431356,22,2,1.1299435028248588,3,1.5706806282722514,177,191
Tuesday,27.606901725431356,23,2,1.1299435028248588,4,2.094240837696335,177,191
Wednesday,28.73218304576144,0,3,1.530612244897959,4,2.1390374331550803,196,187
Wednesday,28.73218304576144,1,6,3.061224489795918,5,2.6737967914438503,196,187
Wednesday,28.73218304576144,2,11,5.612244897959184,10,5.347593582887701,196,187
Wednesday,28.73218304576144,3,14,7.142857142857143,17,9.090909090909092,196,187
Wednesday,28.73218304576144,4,9,4.591836734693878,5,2.6737967914438503,196,187
Wednesday,28.73218304576144,5,7,3.5714285714285716,4,2.1390374331550803,196,187
Wednesday,28.73218304576144,6,6,3.061224489795918,7,3.7433155080213902,196,187
Wednesday,28.73218304576144,7,6,3.061224489795918,8,4.278074866310161,196,187
Wednesday,28.73218304576144,8,13,6.63265306122449,17,9.090909090909092,196,187
Wednesday,28.73218304576144,9,19,9.693877551020408,14,7.4866310160427805,196,187
Wednesday,28.73218304576144,10,20,10.204081632653061,30,16.0427807486631,196,187
Wednesday,28.73218304576144,11,14,7.142857142857143,13,6.951871657754011,196,187
Wednesday,28.73218304576144,12,10,5.1020408163265305,8,4.278074866310161,196,187
Wednesday,28.73218304576144,13,7,3.5714285714285716,6,3.2085561497326203,196,187
Wednesday,28.73218304576144,14,18,9.183673469387756,12,6.4171122994652405,196,187
Wednesday,28.73218304576144,15,4,2.0408163265306123,2,1.0695187165775402,196,187
Wednesday,28.73218304576144,16,2,1.0204081632653061,4,2.1390374331550803,196,187
Wednesday,28.73218304576144,17,1,0.5102040816326531,1,0.5347593582887701,196,187
Wednesday,28.73218304576144,18,5,2.5510204081632653,2,1.0695187165775402,196,187
Wednesday,28.73218304576144,19,4,2.0408163265306123,7,3.7433155080213902,196,187
Wednesday,28.73218304576144,20,6,3.061224489795918,3,1.6042780748663101,196,187
Wednesday,28.73218304576144,21,4,2.0408163265306123,5,2.6737967914438503,196,187
Wednesday,28.73218304576144,22,4,2.0408163265306123,0,0.0,196,187
Wednesday,28.73218304576144,23,3,1.530612244897959,3,1.6042780748663101,196,187
Thursday,32.63315828957239,0,1,0.4149377593360996,4,2.0618556701030926,241,194
Thursday,32.63315828957239,1,6,2.4896265560165975,1,0.5154639175257731,241,194
Thursday,32.63315828957239,2,18,7.468879668049793,9,4.639175257731959,241,194
Thursday,32.63315828957239,3,15,6.224066390041494,13,6.701030927835052,241,194
Thursday,32.63315828957239,4,18,7.468879668049793,10,5.154639175257732,241,194
Thursday,32.63315828957239,5,14,5.809128630705394,9,4.639175257731959,241,194
Thursday,32.63315828957239,6,6,2.4896265560165975,7,3.6082474226804124,241,194
Thursday,32.63315828957239,7,12,4.979253112033195,16,8.24742268041237,241,194
Thursday,32.63315828957239,8,33,13.692946058091286,27,13.917525773195877,241,194
Thursday,32.63315828957239,9,20,8.298755186721992,15,7.731958762886598,241,194
Thursday,32.63315828957239,10,15,6.224066390041494,22,11.34020618556701,241,194
Thursday,32.63315828957239,11,15,6.224066390041494,14,7.216494845360825,241,194
Thursday,32.63315828957239,12,17,7.053941908713693,9,4.639175257731959,241,194
Thursday,32.63315828957239,13,7,2.904564315352697,5,2.577319587628866,241,194
