week_key,open,high,low,close,range_pips,weekly_range_pips,weekly_return_pips
2000-W22,0.9302,0.9498,0.9151,0.9483,592.9999999999991,346.99999999999955,181.00000000000006
2000-W23,0.9481,0.9704,0.9456,0.9542,603.0000000000002,248.00000000000045,60.99999999999994
2000-W24,0.954,0.9694,0.9504,0.9569,553.999999999999,190.00000000000017,29.000000000000135
2000-W25,0.957,0.9617,0.9299,0.937,519.9999999999993,318.0000000000005,-199.99999999999906
2000-W26,0.9371,0.9604,0.9367,0.9522,473.0000000000001,237.00000000000054,151.00000000000003
2000-W27,0.9508,0.9598,0.9459,0.9556,344.9999999999998,139.00000000000023,48.00000000000026
2000-W28,0.9555,0.9569,0.9318,0.9372,436.9999999999985,251.0000000000001,-182.99999999999983
2000-W29,0.9371,0.9384,0.9193,0.9339,483.0000000000012,191.00000000000006,-32.00000000000092
2000-W30,0.9338,0.945,0.9224,0.9271,483.99999999999886,225.99999999999955,-66.99999999999929
2000-W31,0.9269,0.9293,0.8997,0.9073,557.0000000000008,295.9999999999996,-195.99999999999952
2000-W32,0.9074,0.9145,0.8965,0.9063,446.00000000000307,180.00000000000017,-10.999999999999899
2000-W33,0.9062,0.9184,0.9013,0.9018,448.0000000000006,171.00000000000003,-43.999999999999595
2000-W34,0.9017,0.9075,0.8912,0.9003,412.9999999999989,162.9999999999998,-13.999999999999568
2000-W35,0.9003,0.904,0.8841,0.8996,512.999999999999,199.00000000000028,-7.000000000000339
2000-W36,0.8984,0.8994,0.8571,0.8576,751.0000000000016,423.00000000000006,-407.9999999999995
2000-W37,0.8574,0.8722,0.8513,0.854,652.0000000000015,209.00000000000028,-34.000000000000696
2000-W38,0.8539,0.895,0.8443,0.8754,794.0000000000014,506.99999999999966,214.99999999999963
2000-W39,0.8755,0.8886,0.8731,0.8774,501.0000000000015,154.99999999999957,19.000000000000128
2000-W40,0.8775,0.8791,0.8672,0.8693,323.99999999999983,119.00000000000021,-81.99999999999986
2000-W41,0.8679,0.8764,0.8462,0.8498,468.0000000000007,302.00000000000006,-181.00000000000006
2000-W42,0.8497,0.8579,0.8327,0.8363,612.0000000000025,252.0,-133.9999999999997
2000-W43,0.8362,0.853,0.8229,0.8409,582.0000000000002,301.00000000000017,46.99999999999926
2000-W44,0.8411,0.877,0.8388,0.8622,749.9999999999984,382.0000000000001,211.00000000000009
2000-W45,0.8621,0.8708,0.8521,0.8572,642.0000000000015,187.0000000000005,-49.000000000000156
2000-W46,0.8573,0.8634,0.8465,0.8512,399.9999999999992,168.99999999999915,-60.99999999999994
2000-W47,0.8511,0.8536,0.8377,0.8526,470.00000000000153,159.00000000000026,15.000000000000568
2000-W48,0.8523,0.8933,0.8506,0.8875,612.999999999998,426.9999999999996,352.0000000000001
2000-W49,0.8876,0.8976,0.8751,0.8775,614.0000000000001,224.99999999999966,-100.99999999999997
2000-W50,0.8773,0.9019,0.8719,0.8953,564.0000000000023,300.0000000000003,180.00000000000017
2000-W51,0.8954,0.926,0.8883,0.923,458.0000000000006,377.0000000000007,276.0000000000007
2000-W52,0.9296,0.9391,0.9249,0.9373,300.0000000000002,141.99999999999991,77.0000000000004
2001-W01,0.947,0.9599,0.9269,0.9472,937.0,330.0000000000003,2.00000000000089
2001-W02,0.9471,0.948,0.9365,0.94,239.00000000000034,114.99999999999955,-71.00000000000107
2001-W04,0.9389,0.9451,0.9117,0.917,601.0000000000005,334.00000000000097,-218.9999999999992
2001-W05,0.9172,0.9447,0.9147,0.9378,507.00000000000193,300.0000000000003,205.99999999999952
2001-W06,0.9379,0.9389,0.9135,0.9315,568.9999999999995,253.99999999999977,-63.999999999999616
2001-W07,0.9314,0.9332,0.9029,0.9217,625.9999999999989,302.99999999999994,-97.00000000000043
2001-W08,0.9215,0.9242,0.9018,0.9102,715.0000000000001,223.99999999999974,-112.99999999999977
2001-W09,0.9103,0.9383,0.9085,0.9287,477.99999999999955,298.0000000000005,183.99999999999972
