week_key,open,high,low,close,weekly_range_pips,weekly_return_pips
2000-W22,0.9302,0.9498,0.9151,0.944,346.99999999999955,137.99999999999923
2000-W23,0.9461,0.9704,0.9416,0.9523,288.00000000000045,61.99999999999983
2000-W24,0.9535,0.9661,0.9494,0.9649,166.99999999999937,113.99999999999966
2000-W25,0.9647,0.9694,0.9342,0.9367,352.0000000000001,-280.0000000000002
2000-W26,0.9362,0.9604,0.9299,0.9538,305.00000000000085,175.9999999999995
2000-W27,0.9526,0.9598,0.9459,0.9476,139.00000000000023,-50.00000000000004
2000-W28,0.9494,0.9569,0.9318,0.9388,251.0000000000001,-106.00000000000054
2000-W29,0.9384,0.9402,0.9193,0.9365,209.00000000000028,-19.000000000000128
2000-W30,0.9364,0.945,0.9229,0.9239,220.99999999999898,-124.99999999999956
2000-W31,0.9239,0.9295,0.8997,0.908,297.9999999999994,-159.00000000000026
2000-W32,0.9075,0.9145,0.8965,0.9033,180.00000000000017,-41.999999999999815
2000-W33,0.9037,0.9184,0.9007,0.9067,177.00000000000048,30.00000000000003
2000-W34,0.9077,0.9079,0.8912,0.9024,167.00000000000048,-52.999999999999716
2000-W35,0.9037,0.9045,0.8841,0.8994,203.99999999999974,-42.9999999999997
2000-W36,0.8999,0.904,0.8639,0.8686,401.0000000000002,-312.99999999999994
2000-W37,0.8648,0.8726,0.8527,0.8535,199.00000000000028,-112.99999999999977
2000-W38,0.8537,0.895,0.8443,0.8774,506.99999999999966,236.99999999999943
2000-W39,0.8809,0.8886,0.8713,0.8835,172.99999999999983,25.999999999999357
2000-W40,0.8841,0.8861,0.8672,0.8675,189.00000000000028,-165.9999999999995
2000-W41,0.8689,0.8764,0.853,0.8539,233.99999999999977,-150.00000000000014
2000-W42,0.8545,0.8579,0.8327,0.842,252.0,-125.00000000000067
2000-W43,0.8406,0.8446,0.8229,0.8395,217.0000000000005,-10.999999999999899
2000-W44,0.8395,0.877,0.8388,0.8668,382.0000000000001,272.9999999999999
2000-W45,0.8669,0.8734,0.8521,0.8599,212.99999999999986,-70.00000000000006
2000-W46,0.8625,0.8667,0.8475,0.8482,191.99999999999994,-143.0000000000009
2000-W47,0.8493,0.8536,0.8377,0.8398,159.00000000000026,-95.00000000000064
2000-W48,0.8396,0.8795,0.839,0.879,404.99999999999983,393.9999999999999
2000-W49,0.8787,0.8976,0.8759,0.8879,216.9999999999994,91.99999999999986
2000-W50,0.8827,0.9001,0.8719,0.8953,282.0,125.99999999999945
2000-W51,0.8951,0.926,0.8883,0.923,377.0000000000007,279.00000000000034
2000-W52,0.9296,0.9391,0.9249,0.9373,141.99999999999991,77.0000000000004
2001-W01,0.947,0.9599,0.9269,0.958,330.0000000000003,110.0000000000001
2001-W02,0.9588,0.9595,0.9365,0.94,230.0000000000002,-188.0000000000004
2001-W04,0.9354,0.9451,0.9117,0.9238,334.00000000000097,-116.00000000000054
2001-W05,0.924,0.9447,0.9147,0.9364,300.0000000000003,123.99999999999966
2001-W06,0.9366,0.9439,0.9135,0.924,303.99999999999983,-125.99999999999945
2001-W07,0.925,0.9332,0.9029,0.9167,302.99999999999994,-83.00000000000085
2001-W08,0.9127,0.9242,0.9018,0.9173,223.99999999999974,46.00000000000048
2001-W09,0.9179,0.9383,0.9083,0.9354,300.0000000000003,174.9999999999996
2001-W10,0.9355,0.9376,0.9254,0.9329,121.99999999999989,-26.00000000000047
2001-W11,0.9322,0.9342,0.8915,0.8974,427.00000000000074,-348.0000000000005
2001-W12,0.8973,0.9132,0.8833,0.89,299.0000000000004,-72.99999999999973
2001-W13,0.8891,0.8993,0.8757,0.8795,235.99999999999955,-96.00000000000053
2001-W14,0.8758,0.9091,0.8745,0.9042,345.99999999999966,283.99999999999983
2001-W15,0.9039,0.9051,0.8814,0.8894,237.00000000000054,-145.00000000000068
2001-W16,0.885,0.9049,0.8719,0.9023,330.0000000000003,172.99999999999983
2001-W17,0.9028,0.9083,0.8891,0.8909,191.99999999999994,-119.00000000000021
2001-W18,0.8916,0.901,0.8854,0.8936,156.00000000000057,20.000000000000018
2001-W19,0.8928,0.8937,0.8738,0.8768,199.00000000000028,-160.00000000000014
2001-W20,0.8755,0.8883,0.8728,0.8806,154.99999999999957,51.000000000001044
2001-W21,0.8805,0.8819,0.8497,0.8583,322.00000000000006,-221.99999999999997
2001-W22,0.8597,0.8614,0.8434,0.8475,180.00000000000017,-121.99999999999989
2001-W23,0.8472,0.857,0.8427,0.8507,142.9999999999998,35.00000000000058
2001-W24,0.8506,0.8676,0.8414,0.862,262.0,113.99999999999966
2001-W25,0.8633,0.8644,0.8497,0.8574,146.99999999999935,-58.999999999999055
2001-W26,0.8571,0.8662,0.8434,0.8497,227.99999999999932,-73.99999999999962
2001-W27,0.8499,0.8508,0.8353,0.8481,154.99999999999957,-18.000000000000238
2001-W28,0.8472,0.8645,0.8449,0.8549,196.00000000000063,77.0000000000004
2001-W29,0.8549,0.8787,0.8493,0.8721,293.99999999999983,171.99999999999994
2001-W30,0.8709,0.8826,0.8657,0.8775,169.00000000000026,65.99999999999939
2001-W31,0.8763,0.8875,0.8726,0.8846,148.99999999999915,83.00000000000085
2001-W32,0.8832,0.8961,0.8744,0.8936,217.0000000000005,103.99999999999964
2001-W33,0.8944,0.9203,0.8925,0.9179,278.00000000000045,235.00000000000077
2001-W34,0.9174,0.9242,0.9078,0.9131,163.99999999999972,-42.9999999999997
2001-W35,0.9129,0.92,0.9031,0.9086,169.00000000000026,-43.00000000000082
2001-W36,0.9094,0.9104,0.8828,0.9071,275.9999999999996,-22.999999999999687
2001-W37,0.9064,0.9255,0.8958,0.9215,296.9999999999995,151.00000000000003
2001-W38,0.9238,0.9336,0.909,0.914,245.99999999999955,-97.9999999999992
2001-W39,0.9142,0.9251,0.9084,0.9102,167.00000000000048,-40.000000000000036
2001-W40,0.9109,0.9235,0.9065,0.9153,170.00000000000014,43.999999999999595
2001-W41,0.9192,0.9244,0.9104,0.9122,140.0000000000001,-70.00000000000006
2001-W42,0.9122,0.914,0.8996,0.9038,144.0000000000008,-83.99999999999963
2001-W43,0.8988,0.9005,0.8872,0.8938,132.99999999999977,-50.00000000000004
2001-W44,0.8929,0.9104,0.8924,0.9008,180.00000000000017,79.00000000000018
2001-W45,0.9014,0.905,0.8941,0.897,109.00000000000021,-43.999999999999595
2001-W46,0.8946,0.9019,0.8775,0.8827,244.00000000000088,-118.9999999999991
2001-W47,0.8845,0.8855,0.8757,0.8777,97.9999999999992,-67.99999999999918
2001-W48,0.8785,0.8888,0.8771,0.8872,117.00000000000044,87.00000000000041
2001-W49,0.8955,0.9097,0.8848,0.8872,248.99999999999923,-82.99999999999974
2001-W50,0.8894,0.9068,0.8845,0.897,223.00000000000097,76.00000000000051
2001-W51,0.9041,0.915,0.8955,0.8989,195.00000000000074,-51.99999999999982
2001-W52,0.8889,0.8912,0.8745,0.8795,166.99999999999937,-94.00000000000075
2002-W01,0.8844,0.9141,0.883,0.9057,311.00000000000017,212.99999999999986
2002-W02,0.8965,0.9042,0.8866,0.8919,175.9999999999995,-45.999999999999375
2002-W03,0.8948,0.8956,0.8807,0.8824,148.99999999999915,-124.00000000000078
2002-W04,0.8864,0.8892,0.8771,0.8777,121.0,-86.9999999999993
